Wavelength,LL,LL Parity,LL J,UL,UL Parity,UL J,log gf,gA,CF
,,,,,,,,,
1464.248,21419,(o),3.5,89713,(e),2.5,-2.77,5.39E+06,0.002
1475.153,0,(e),0.5,67790,(o),1.5,-3.78,5.11E+05,-0.1
1495.263,21419,(o),3.5,88297,(e),3.5,-2.71,5.85E+06,0.002
1510.825,0,(e),0.5,66189,(o),1.5,-2.08,2.45E+07,-0.166
1524.527,0,(e),0.5,65594,(o),1.5,-1.98,3.02E+07,-0.137
1534.936,0,(e),0.5,65149,(o),0.5,-2.17,1.95E+07,-0.235
1557.827,0,(e),0.5,64192,(o),1.5,-2.71,5.34E+06,0.024
1569.705,0,(e),0.5,63706,(o),0.5,-2.28,1.44E+07,0.194
1601.223,21419,(o),3.5,83871,(e),4.5,-2.3,1.31E+07,0.077
1626.729,21419,(o),3.5,82892,(e),2.5,-1.34,1.16E+08,0.103
1638.293,27062,(o),0.5,88101,(e),1.5,-3.5,7.74E+05,-0.001
1641.763,0,(e),0.5,60910,(o),1.5,-3.43,9.07E+05,-0.012
1659.085,21419,(o),3.5,81693,(e),3.5,-1.08,2.03E+08,-0.096
1660.071,21419,(o),3.5,81657,(e),2.5,-1.08,2.03E+08,0.174
1669.619,21419,(o),3.5,81313,(e),2.5,-1.08,1.99E+08,0.169
1672.618,21419,(o),3.5,81205,(e),4.5,-2.64,5.50E+06,-0.007
1672.882,0,(e),0.5,59777,(o),1.5,-3.71,4.62E+05,-0.052
1685.12,28758,(o),1.5,88101,(e),1.5,-2.94,2.65E+06,-0.002
1693.797,21419,(o),3.5,80458,(e),3.5,-1.56,6.45E+07,0.17
1704.375,0,(e),0.5,58673,(o),0.5,-2.89,3.00E+06,-0.032
1717.919,21419,(o),3.5,79629,(e),3.5,0.15,3.20E+09,-0.269
1719.266,21419,(o),3.5,79583,(e),2.5,-3.24,1.31E+06,0.01
1719.313,0,(e),0.5,58163,(o),1.5,-2.82,3.43E+06,-0.118
1719.836,31568,(o),2.5,89713,(e),2.5,0.08,2.74E+09,-0.242
1721.992,30224,(o),4.5,88297,(e),3.5,-3.05,2.02E+06,0
1732.84,30392,(o),1.5,88101,(e),1.5,-3.49,7.18E+05,0.001
1732.86,21419,(o),3.5,79127,(e),4.5,-1.79,3.58E+07,-0.095
1742.278,21419,(o),3.5,78815,(e),2.5,-1.93,2.60E+07,0.059
1743.92,32371,(o),2.5,89713,(e),2.5,-2.21,1.38E+07,-0.004
1755.072,0,(e),0.5,56978,(o),0.5,-3.8,3.42E+05,0.102
1759.323,0,(e),0.5,56840,(o),1.5,-2.58,5.61E+06,0.147
1762.782,31568,(o),2.5,88297,(e),3.5,0.2,3.43E+09,0.29
1765.18,21419,(o),3.5,78070,(e),4.5,0.2,3.40E+09,-0.301
1768.882,31568,(o),2.5,88101,(e),1.5,-0.06,1.83E+09,0.27
1771.062,21419,(o),3.5,77882,(e),3.5,-1.32,1.01E+08,-0.148
1775.296,21419,(o),3.5,77747,(e),4.5,-0.43,7.97E+08,0.268
