Configuration,Term,J,Level (cm-1),Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""4f14.6s""","=""2S""","=""1/2""","="" 0.00""","=""""","=""1.998""","=""                                                                                    ""","=""L3974"""
"=""4f13.(2F*).6s2""","=""2F*""","=""7/2""","="" 21418.75""","=""""","=""1.145""","=""  98                :     1  (2F*<7/2>).5d2.(1S)            1[7/2]*                 ""","="""""
"=""4f13.(2F*).6s2""","=""2F*""","=""5/2""","="" 31568.08""","=""""","=""0.862""","=""  90                :     7  (2F*<7/2>)5d.6s.(3D)           3[7/2]*                 ""","="""""
"=""4f14.5d""","=""2D""","=""3/2""","="" 22960.80""","=""""","=""1.802""","=""                                                                                    ""","="""""
"=""4f14.5d""","=""2D""","=""5/2""","="" 24332.69""","=""""","=""1.202""","=""                                                                                    ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[3/2]*""","=""5/2""","="" 26759.02""","=""""","=""1.570""","=""  95                :     2                                 (2F*<7/2>)(3D) 3[5/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[3/2]*""","=""3/2""","="" 28757.98""","=""""","=""1.440""","=""  62                :    27                                 (2F*<7/2>)(1D) 1[3/2]*  ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[3/2]*""","=""1/2""","="" 33653.86""","=""""","=""1.320""","=""  77                :    13                                 (2F*<5/2>)(3D) 3[1/2]*  ""","="""""
"=""4f14.6p""","=""2P*""","=""1/2""","="" 27061.82""","=""""","=""0.667""","=""                                                                                    ""","="""""
"=""4f14.6p""","=""2P*""","=""3/2""","="" 30392.23""","=""""","=""1.333""","=""                                                                                    ""","="""""
"=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[11/2]*""","=""9/2""","="" 30224.33""","=""""","=""0.935""","=""  96                :     2                                 (2F*<7/2>)(3D) 3[9/2]*  ""","="""""
